t,err,px,py,pz,qw,qx,qy,qz,u1,u2,u3,u4,u5,u6
0.100000000,0.361086569,0.000917327,0.000968581,0.001053582,0.999941002,-0.009244220,0.004243893,0.003811421,0.830218600,0.000000000,0.975390701,0.000000000,0.105146743,0.105146743
0.200000000,0.363696838,0.003708543,0.003784725,0.004246899,0.999278576,-0.032238107,0.014993226,0.013350457,0.845401982,0.000000000,1.000000000,0.000000000,0.179765132,0.179765132
0.300000000,0.367079523,0.008425885,0.008249254,0.009532719,0.997187806,-0.063457635,0.029915941,0.026356113,0.844991837,0.000000000,1.000000000,0.000000000,0.264679581,0.264679581
0.400000000,0.370663217,0.015107924,0.014102251,0.016803684,0.993108236,-0.098988611,0.047333959,0.041192017,0.827060075,0.000000000,1.000000000,0.000000000,0.351154243,0.351154243
0.500000000,0.374011658,0.023779849,0.021074653,0.025980943,0.986872602,-0.136037536,0.066039326,0.056701533,0.792702938,0.000000000,1.000000000,0.000000000,0.432844761,0.432844761
0.600000000,0.376783744,0.034457295,0.028910663,0.037031182,0.978638568,-0.172666853,0.085176905,0.072094428,0.744975879,0.000000000,1.000000000,0.000000000,0.505808828,0.505808828
0.700000000,0.378695290,0.047150866,0.037385790,0.049967317,0.968768372,-0.207591976,0.104158803,0.086858258,0.687781906,0.000000000,1.000000000,0.000000000,0.568225303,0.568225303
0.800000000,0.379494621,0.061869813,0.046317649,0.064839863,0.957717523,-0.240018457,0.122598522,0.100687083,0.624985612,0.000000000,1.000000000,0.000000000,0.619878921,0.619878921
0.900000000,0.378952931,0.078624364,0.055569041,0.081724692,0.945952664,-0.269510512,0.140259053,0.113424158,0.559907433,0.000000000,1.000000000,0.000000000,0.661597954,0.661597954
1.000000000,0.376864603,0.097426980,0.065044959,0.100711242,0.933900051,-0.295886332,0.157012044,0.125016763,0.495153387,0.000000000,1.000000000,0.000000000,0.694786340,0.694786340
1.100000000,0.373052018,0.118293057,0.074685862,0.121893231,0.921918920,-0.319136729,0.172806201,0.135481626,0.432664387,0.000000000,1.000000000,0.000000000,0.721104931,0.721104931
1.200000000,0.367371044,0.141241623,0.084459330,0.145362440,0.910292401,-0.339363633,0.187643435,0.144879297,0.373885543,0.000000000,1.000000000,0.000000000,0.742293765,0.742293765
1.300000000,0.359715218,0.166296465,0.094351555,0.171205247,0.899229460,-0.356734920,0.201561342,0.153295794,0.320007322,0.000000000,1.000000000,0.000000000,0.760089671,0.760089671
1.400000000,0.349653012,0.193487941,0.104359628,0.199501081,0.888872827,-0.371452404,0.214620508,0.160829867,0.271967359,0.000000000,1.000000000,0.000000000,0.775882708,0.775882708
1.500000000,0.336673534,0.222854735,0.114485525,0.230321330,0.879308913,-0.383732529,0.226893684,0.167584122,0.230836983,0.000000000,0.977719579,0.000000000,0.790284407,0.790284407
1.600000000,0.320628952,0.254443624,0.124630006,0.263702071,0.870507851,-0.393950073,0.238440750,0.173681980,0.198158946,0.000000000,0.786308484,0.000000000,0.797682396,0.797682396
1.700000000,0.301706323,0.288232899,0.134372518,0.299506330,0.862159123,-0.402977695,0.249261059,0.179330838,0.126204501,0.000000000,0.304955439,0.000000000,0.546775682,0.546775682
1.800000000,0.280835081,0.323620761,0.143297541,0.336918409,0.853619453,-0.412217873,0.259283367,0.184884803,0.078505819,0.000000000,0.000000000,0.124536317,0.332834545,0.332834545
1.900000000,0.259082916,0.359854260,0.151153976,0.374981414,0.844470661,-0.422435091,0.268464658,0.190642660,0.065256155,0.000000000,0.000000000,0.425642258,0.277963411,0.277963411
2.000000000,0.237241649,0.396373409,0.157786762,0.412978572,0.834648795,-0.433603252,0.276826464,0.196765642,0.073446780,0.000000000,0.000000000,0.627014341,0.228030528,0.228030528
2.100000000,0.215878814,0.432770962,0.163112062,0.450382992,0.824276645,-0.445349738,0.284446298,0.203277955,0.094136519,0.000000000,0.000000000,0.751663249,0.182317432,0.182317432
2.200000000,0.195386391,0.468757329,0.167098637,0.486814345,0.813578393,-0.457167575,0.291436196,0.210126035,0.121278663,0.000000000,0.000000000,0.818521739,0.140906913,0.140906913
2.300000000,0.176021014,0.504132899,0.169753401,0.522004669,0.802822843,-0.468540116,0.297926073,0.217222694,0.150894969,0.000000000,0.000000000,0.843157995,0.104249562,0.104249562
2.400000000,0.157936480,0.538766296,0.171110291,0.555771491,0.792282802,-0.479011210,0.304051260,0.224475063,0.180478333,0.000000000,0.000000000,0.838171289,0.072795241,0.072795241
2.500000000,0.141209672,0.572577332,0.171221740,0.587996759,0.782206471,-0.488217898,0.309943160,0.231800685,0.208552214,0.000000000,0.000000000,0.813502605,0.046781486,0.046781486
2.600000000,0.125860998,0.605523725,0.170152211,0.618610409,0.772798900,-0.495898593,0.315722604,0.239135284,0.234344568,0.000000000,0.000000000,0.776752499,0.026163721,0.026163721
2.700000000,0.111870354,0.637590790,0.167973343,0.647577607,0.764212164,-0.501886499,0.321495667,0.246435075,0.257548886,0.000000000,0.000000000,0.733526343,0.010639320,0.010639320
2.800000000,0.099189476,0.668783476,0.164760354,0.674888907,0.756542736,-0.506095415,0.327351669,0.253675787,0.278434386,0.000282003,0.000282003,0.688074913,0.000000000,0.000000000
2.900000000,0.087751403,0.699120274,0.160589425,0.700552704,0.749834784,-0.508502430,0.333362481,0.260849636,0.303510820,0.007196310,0.007196310,0.649428622,0.000000000,0.000000000
3.000000000,0.077477643,0.728628582,0.155535843,0.724589503,0.744087075,-0.509130897,0.339583141,0.267961648,0.323016677,0.010732656,0.010732656,0.609283221,0.000000000,0.000000000
3.100000000,0.068283537,0.757341219,0.149672713,0.747027600,0.739258947,-0.508036877,0.346055565,0.275027793,0.337848570,0.011498562,0.011498562,0.569240907,0.000000000,0.000000000
3.200000000,0.060082193,0.785293833,0.143070118,0.767899887,0.735279172,-0.505296726,0.352810497,0.282071819,0.348851512,0.010044434,0.010044434,0.530349711,0.000000000,0.000000000
3.300000000,0.052787340,0.812523012,0.135794601,0.787241506,0.732054824,-0.500997198,0.359869167,0.289122334,0.356778308,0.006844871,0.006844871,0.493249826,0.000000000,0.000000000
3.400000000,0.046315308,0.839064926,0.127908899,0.805088180,0.729478988,-0.495228165,0.367244902,0.296210486,0.362271533,0.002292840,0.002292840,0.458288758,0.000000000,0.000000000
3.500000000,0.040586372,0.864954388,0.119471850,0.821475049,0.727437124,-0.488077522,0.374944474,0.303368102,0.369157914,0.000000000,0.000000000,0.428906787,0.003297461,0.003297461
